Edge ID,from,to,Speed Limit (km/h),Average Speed (km/h)
-E33,J38,J36,50.004,49.52
-E336,J274,J90,50.004,49.721
-E337,J275,J274,50.004,48.817
-E339,J129,J274,50.004,49.775
-E34,J39,J37,50.004,48.779
-E35,J39,J38,50.004,43.653
-E36,J41,J39,50.004,47.204
-E37,J14,J35,50.004,48.123
-E38,J14,J9,50.004,49.775
-E39,J21,J3,50.004,49.471
-E4,J32,J1,50.004,49.722
-E40,J4,J21,50.004,49.498
-E41,J23,J9,50.004,49.501
-E42,J13,J23,50.004,49.724
-E43,J24,J14,50.004,46.175
-E44,J15,J24,50.004,49.755
-E45,J21,J29,50.004,49.358
-E46,J23,J21,50.004,49.504
-E47,J24,J23,50.004,49.314
-E48,J12,J35,50.004,49.136
-E49,J119,J118,50.004,49.425
-E5,J11,J10,50.004,49.954
-E50,J43,J8,50.004,48.918
-E51,J35,J43,50.004,48.967
-E52,J46,J45,50.004,47.264
-E53,J32,J43,50.004,49.504
-E54,J47,J31,50.004,49.782
-E55,J1,J47,50.004,49.773
-E56,J110,J119,50.004,49.889
-E57,J49,J47,50.004,49.621
-E58,J50,J49,50.004,49.768
-E59,J51,J50,50.004,49.535
-E6,J3,J5,50.004,49.725
-E60,J52,J51,50.004,49.446
-E61,J49,J52,50.004,49.736
-E62,J57,J55,50.004,49.914
-E63,J74,J57,50.004,49.816
-E64,J77,J57,50.004,49.775
-E65,J54,J14,50.004,45.288
-E66,J55,J54,50.004,49.343
-E67,J53,J36,50.004,49.628
-E68,J58,J53,50.004,48.844
-E69,J38,J53,50.004,48.376
-E7,J44,J34,50.004,49.513
-E70,J60,J42,50.004,49.672
-E71,J48,J39,50.004,48.969
-E72,J45,J48,50.004,48.591
-E73,J34,J48,50.004,49.225
-E74,J114,J127,50.004,49.501
-E75,J128,J127,50.004,48.342
-E76,J62,J60,50.004,49.917
-E77,J44,J42,50.004,49.792
-E78,J62,J44,50.004,48.758
-E79,J128,J121,50.004,49.412
-E8,J8,J1,50.004,47.56
-E80,J59,J62,50.004,49.186
-E9,J16,J15,50.004,48.468
E0,J0,J156,50.004,49.94
E1,J15,J40,50.004,49.862
E10,J25,J193,50.004,49.674
E106,J58,J54,50.004,49.144
E11,J47,J194,50.004,49.95
E111,J44,J95,50.004,47.79
E12,J19,J20,50.004,50.004
E121,J35,J58,50.004,48.868
E128,J136,J100,50.004,49.956
E129,J95,J109,50.004,49.264
E13,J20,J11,50.004,48.605
E135,J109,J110,50.004,48.068
E14,J2,J6,50.004,48.471
E140,J95,J118,50.004,49.846
E142,J118,J109,50.004,48.8
E143,J120,J62,50.004,50.001
E144,J95,J120,50.004,49.911
E145,J56,J101,50.004,49.462
E146,J120,J122,50.004,49.657
E147,J109,J123,50.004,49.901
E148,J123,J124,50.004,49.926
E149,J122,J124,50.004,49.767
E15,J20,J22,50.004,49.407
E150,J122,J123,50.004,49.983
E151,J124,J125,50.004,49.752
E152,J125,J90,50.004,49.765
E153,J110,J126,50.004,49.844
E154,J126,J90,50.004,49.828
E155,J126,J125,50.004,49.288
E157,J119,J127,50.004,49.968
E16,J6,J3,50.004,48.617
E161,J135,J29,50.004,49.31
E162,J29,J136,50.004,49.831
E163,J136,J137,50.004,49.898
E164,J137,J138,50.004,49.989
E165,J138,J139,50.004,49.98
E166,J136,J140,50.004,48.028
E167,J141,J140,50.004,49.547
E168,J140,J4,50.004,49.284
E169,J4,J13,50.004,49.278
E17,J11,J25,50.004,49.74
E170,J13,J142,50.004,46.477
E171,J142,J15,50.004,49.277
E172,J142,J56,50.004,46.322
E173,J56,J74,50.004,47.126
E174,J74,J77,50.004,45.951
E175,J77,J127,50.004,49.24
E177,J114,J129,50.004,47.869
E178,J1,J204,50.004,49.776
E179,J101,J74,50.004,48.322
E18,J6,J7,50.004,49.758
E183,J15,J217,50.004,49.433
E19,J11,J26,50.004,48.509
E192,J101,J121,50.004,49.36
E196,J121,J77,50.004,47.755
E199,J128,J131,50.004,46.012
E2,J31,J2,50.004,49.123
E20,J26,J27,50.004,49.408
E200,J128,J133,50.004,48.93
E201,J114,J133,50.004,49.535
E202,J133,J131,50.004,49.386
E205,J134,J131,50.004,49.847
E21,J26,J28,50.004,47.997
E213,J32,J33,50.004,49.619
E22,J28,J25,50.004,49.527
E222,J186,J174,50.004,49.892
E228,J133,J134,50.004,49.96
E229,J156,J157,50.004,49.932
E23,J30,J31,50.004,49.373
E230,J157,J164,50.004,49.502
E231,J164,J175,50.004,50.004
E232,J175,J176,50.004,50.004
E233,J176,J177,50.004,50.004
E235,J114,J110,50.004,47.144
E236,J42,J212,50.004,50.017
E24,J55,J56,50.004,43.633
E242,J131,J186,50.004,49.889
E2430,J186,J187,50.004,49.985
E244,J187,J188,50.004,49.983
E248,J217,J218,50.004,49.987
E25,J32,J12,50.004,47.3
E251,J196,J197,50.004,49.203
E252,J197,J198,50.004,49.84
E253,J198,J199,50.004,49.523
E254,J199,J200,50.004,48.93
E255,J200,J201,50.004,50.004
E256,J201,J202,50.004,50.013
E257,J139,J203,50.004,49.967
E258,J203,J205,50.004,49.999
E259,J139,J201,50.004,50.014
E26,J25,J33,50.004,49.861
E260,J129,J134,50.004,49.64
E261,J200,J138,50.004,48.356
E262,J137,J202,50.004,49.267
E263,J164,J17,50.004,49.362
E264,J16,J206,50.004,49.291
E265,J206,J207,50.004,49.822
E266,J207,J208,50.004,50.004
E267,J208,J17,50.004,50.004
E268,J17,J209,50.004,50.004
E269,J209,J18,50.004,50.004
E27,J7,J9,50.004,49.794
E270,J208,J175,50.004,50.004
E271,J209,J176,50.004,50.004
E272,J207,J198,50.004,47.11
E273,J197,J206,50.004,50.004
E28,J33,J12,50.004,47.278
E285,J217,J142,50.004,45.701
E29,J3,J9,50.004,49.233
E3,J38,J34,50.004,49.285
E30,J12,J36,50.004,49.8
E305,J129,J225,50.004,49.98
E31,J28,J37,50.004,48.772
E317,J142,J218,50.004,49.936
E318,J218,J13,50.004,49.79
E319,J16,J199,50.004,47.606
E32,J37,J36,50.004,48.787
E320,J202,J224,50.004,49.941
E321,J228,J0,50.004,49.546
E322,J0,J203,50.004,50.004
E323,J203,J229,50.004,50.004
E324,J229,J139,50.004,49.177
E325,J229,J157,50.004,47.073
E326,J54,J230,50.004,49.615
E33,J36,J38,50.004,48.818
E336,J90,J274,50.004,49.83
E337,J274,J275,50.004,49.809
E339,J274,J129,50.004,47.639
E34,J37,J39,50.004,49.558
E340,J274,J277,50.004,49.913
E341,J277,J274,50.004,49.004
E35,J38,J39,50.004,49.673
E36,J39,J41,50.004,49.571
E37,J35,J14,50.004,48.37
E38,J9,J14,50.004,47.218
E39,J3,J21,50.004,49.49
E4,J1,J32,50.004,49.776
E40,J21,J4,50.004,49.18
E41,J9,J23,50.004,49.684
E42,J23,J13,50.004,49.593
E43,J14,J24,50.004,49.486
E44,J24,J15,50.004,49.379
E45,J29,J21,50.004,48.537
E46,J21,J23,50.004,49.133
E47,J23,J24,50.004,48.765
E48,J35,J12,50.004,47.476
E49,J118,J119,50.004,49.992
E5,J10,J11,50.004,49.297
E50,J8,J43,50.004,48.535
E51,J43,J35,50.004,45.888
E52,J45,J46,50.004,49.927
E53,J43,J32,50.004,49.648
E54,J31,J47,50.004,49.727
E55,J47,J1,50.004,49.724
E56,J119,J110,50.004,49.587
E57,J47,J49,50.004,49.318
E58,J49,J50,50.004,49.436
E59,J50,J51,50.004,49.001
E6,J5,J3,50.004,49.178
E60,J51,J52,50.004,49.102
E61,J52,J49,50.004,49.298
E62,J55,J57,50.004,49.893
E63,J57,J74,50.004,48.409
E64,J57,J77,50.004,45.005
E65,J14,J54,50.004,48.096
E66,J54,J55,50.004,48.871
E67,J36,J53,50.004,48.86
E68,J53,J58,50.004,48.752
E69,J53,J38,50.004,44.415
E7,J34,J44,50.004,48.146
E70,J42,J60,50.004,49.01
E71,J39,J48,50.004,49.747
E72,J48,J45,50.004,49.983
E73,J48,J34,50.004,49.227
E74,J127,J114,50.004,48.628
E75,J127,J128,50.004,48.942
E76,J60,J62,50.004,49.864
E77,J42,J44,50.004,49.254
E78,J44,J62,50.004,49.831
E79,J121,J128,50.004,49.123
E8,J1,J8,50.004,48.007
E80,J62,J59,50.004,49.892
E9,J15,J16,50.004,49.923
